Start date,End date,Mean,Median,Min,Max,Records (count)
2022-02-22T19:53:00Z,2022-02-22T19:53:00Z,12308,12308,12308,12308,1
2022-02-28T20:00:00Z,2022-02-28T20:00:00Z,32542,32542,32542,32542,1
2022-03-07T19:55:00Z,2022-03-07T19:55:00Z,5632,5632,5632,5632,1
2022-03-14T19:00:00Z,2022-03-14T19:00:00Z,44432,44432,44432,44432,1
2022-03-21T19:09:00Z,2022-03-21T19:09:00Z,113270,113270,113270,113270,1
2022-03-28T18:07:00Z,2022-03-28T18:07:00Z,23155,23155,23155,23155,1
2022-04-04T19:05:00Z,2022-04-04T19:05:00Z,23155,23155,23155,23155,1
2022-04-11T18:57:00Z,2022-04-11T18:57:00Z,15019,15019,15019,15019,1
2022-04-18T19:08:00Z,2022-04-18T19:08:00Z,76974,76974,76974,76974,1
2022-04-25T19:10:00Z,2022-04-25T19:10:00Z,35671,35671,35671,35671,1
2022-05-02T19:07:00Z,2022-05-02T19:07:00Z,1877,1877,1877,1877,1
2022-05-09T19:00:00Z,2022-05-09T19:00:00Z,16271,16271,16271,16271,1
2022-05-16T19:01:00Z,2022-05-16T19:01:00Z,74018,74018,74018,74018,1
2022-05-23T15:31:00Z,2022-05-23T15:31:00Z,10639,10639,10639,10639,1
2022-05-31T18:52:00Z,2022-05-31T18:52:00Z,26909,26909,26909,26909,1
2022-06-06T19:06:00Z,2022-06-06T19:06:00Z,18774,18774,18774,18774,1
2022-06-13T19:01:00Z,2022-06-13T19:01:00Z,5632,5632,5632,5632,1
2022-06-21T19:06:00Z,2022-06-21T19:06:00Z,2503,2503,2503,2503,1
2022-06-27T18:46:00Z,2022-06-27T18:46:00Z,6258,6258,6258,6258,1
2022-07-05T19:07:00Z,2022-07-05T19:07:00Z,13768,13768,13768,13768,1
2022-07-11T19:25:00Z,2022-07-11T19:25:00Z,28787,28787,28787,28787,1
2022-07-18T19:05:00Z,2022-07-18T19:05:00Z,626,626,626,626,1
2022-07-25T19:07:00Z,2022-07-25T19:07:00Z,35671,35671,35671,35671,1
2022-08-01T19:00:00Z,2022-08-01T19:00:00Z,10013,10013,10013,10013,1
2022-08-08T19:08:00Z,2022-08-08T19:08:00Z,1252,1252,1252,1252,1
2022-08-15T18:58:00Z,2022-08-15T18:58:00Z,1252,1252,1252,1252,1
2022-08-22T18:47:00Z,2022-08-22T18:47:00Z,4381,4381,4381,4381,1
2022-08-29T18:51:00Z,2022-08-29T18:51:00Z,0,0,0,0,1
2022-09-06T18:55:00Z,2022-09-06T18:55:00Z,626,626,626,626,1
2022-09-12T19:07:00Z,2022-09-12T19:07:00Z,5632,5632,5632,5632,1
2022-09-19T19:01:00Z,2022-09-19T19:01:00Z,0,0,0,0,1
2022-09-26T19:01:00Z,2022-09-26T19:01:00Z,192121,192121,192121,192121,1
2022-10-03T19:02:00Z,2022-10-03T19:02:00Z,43180,43180,43180,43180,1
2022-10-10T18:53:00Z,2022-10-10T18:53:00Z,36922,36922,36922,36922,1
2022-10-17T19:01:00Z,2022-10-17T19:01:00Z,0,0,0,0,1
2022-10-24T18:43:00Z,2022-10-24T18:43:00Z,0,0,0,0,1
2022-10-31T17:43:00Z,2022-10-31T17:43:00Z,6258,6258,6258,6258,1
2022-11-07T19:57:00Z,2022-11-07T19:57:00Z,43806,43806,43806,43806,1
2022-11-14T19:58:00Z,2022-11-14T19:58:00Z,14393,14393,14393,14393,1
2022-11-21T19:52:00Z,2022-11-21T19:52:00Z,5632,5632,5632,5632,1
2022-11-28T20:09:00Z,2022-11-28T20:09:00Z,5632,5632,5632,5632,1
2022-12-05T19:53:00Z,2022-12-05T19:53:00Z,2503,2503,2503,2503,1
2022-12-12T19:41:00Z,2022-12-12T19:41:00Z,626,626,626,626,1
2022-12-19T19:52:00Z,2022-12-19T19:52:00Z,2503,2503,2503,2503,1
2022-12-27T20:21:00Z,2022-12-27T20:21:00Z,1252,1252,1252,1252,1
2023-01-03T20:01:00Z,2023-01-03T20:01:00Z,0,0,0,0,1
2023-01-09T20:17:00Z,2023-01-09T20:17:00Z,1877,1877,1877,1877,1
2023-01-17T19:57:00Z,2023-01-17T19:57:00Z,0,0,0,0,1
2023-01-23T18:23:00Z,2023-01-23T18:23:00Z,626,626,626,626,1
2023-01-30T19:51:00Z,2023-01-30T19:51:00Z,0,0,0,0,1
